##['TANGGAL', 'JAM', 'SEQUENCE', 'EMITEN', 'OPEN_PRICE', 'HIGH_PRICE', 'LOW_PRICE', 'CLOSE_PRICE', 'VOLUME', 'VALUE', 'FREQUENCY']
['20200226', '030042', '00002216', 'KMTR', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002217', 'KOBX', '00000000094.00', '00000000094.00', '00000000094.00', '00000000094.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002218', 'KOIN', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002219', 'KONI', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002220', 'KOPI', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002221', 'KPIG', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002222', 'KRAH', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002223', 'KRAS', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002224', 'KREN', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002225', 'LAMI', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002226', 'LAPD', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002227', 'LCGP', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002228', 'LEAD', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002229', 'LINK', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002230', 'LION', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002231', 'LMAS', '00000000063.00', '00000000063.00', '00000000063.00', '00000000063.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002232', 'LMPI', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002233', 'LMSH', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002234', 'LPCK', '00000004050.00', '00000004050.00', '00000004050.00', '00000004050.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002235', 'LPGI', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002236', 'LPIN', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002237', 'LPKR', '00000000476.00', '00000000476.00', '00000000476.00', '00000000476.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002238', 'LPLI', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002239', 'LPPF', '00000012300.00', '00000012300.00', '00000012300.00', '00000012300.00', '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002240', 'LPPS', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002241', 'LRNA', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002242', 'LSIP', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002243', 'LTLS', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002244', 'MABA', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002245', 'MAGP', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002246', 'MAIN', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002247', 'MAMI', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002248', 'MAMIP', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002249', 'MAPB', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002250', 'MAPI', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002251', 'MARI', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002252', 'MASA', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002253', 'MAYA', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002254', 'MBAP', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002255', 'MBSS', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002256', 'MBTO', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002257', 'MCOR', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002258', 'MDIA', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002259', 'MDKA', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002260', 'MDLN', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002261', 'MDRN', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002262', 'MEDC', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002263', 'MEGA', None, None, None, None, '000000000000', '0000000000000000', '0000000']
['20200226', '030042', '00002264', 'MERK', None, None, None, None, '000000000000', '0000000000000000', '0000000']
